city;nameImpurity;averageMonthlyConcentration;maximumAllowableAverageDailyConcentrations;maximumSingleConcentration;maximumAllowableConcentrationsAreMaximumSingle;airPollutionIndex;;;;;;;
Біла Церква;Завислі речовини;0,06;0,4;0,11;0,2;null;;;;;;;
Біла Церква;Дiоксид сiрки;0,043;0,9;0,080;0,2;null;;;;;;;
Біла Церква;Оксид вуглецю;0,9;0,3;1,9;0,4;null;;;;;;;
Біла Церква;Дiоксид азоту;0,10;2,4;0,18;0,9;null;;;;;;;
Біла Церква;null;null;null;null;null;3,98;;;;;;;
Бровари;Завислі речовини;0,05;0,3;0,07;0,1;null;;;;;;;
Бровари;Дiоксид сiрки;0,045;0,9;0,090;0,2;null;;;;;;;
Бровари;Оксид вуглецю;0,6;0,2;0,7;0,1;null;;;;;;;
Бровари;Дiоксид азоту;0,08;2,1;0,16;0,8;null;;;;;;;
Бровари;null;null;null;null;null;3,5;;;;;;;
Вінниця;Завислі речовини;0,10;0,7;1,00;2,0;null;;;;;;;
Вінниця;Дiоксид сiрки;0,000;0,0;0,004;0,0;null;;;;;;;
Вінниця;Оксид вуглецю;1,2;0,4;2,8;0,6;null;;;;;;;
Вінниця;Дiоксид азоту;0,07;1,8;0,27;1,3;null;;;;;;;
Вінниця;Фтористий водень;0,004;0,8;0,021;1,0;null;;;;;;;
Вінниця;Амiак;0,01;0,3;0,04;0,2;null;;;;;;;
Вінниця;Формальдегiд;0,008;2,6;0,020;0,6;null;;;;;;;
Вінниця;null;null;null;null;null;7,03;;;;;;;
Горішні Плавні;Завислі речовини;0,12;0,8;0,26;0,5;null;;;;;;;
Горішні Плавні;Дiоксид сiрки;0,006;0,1;0,011;0,0;null;;;;;;;
Горішні Плавні;Оксид вуглецю;0,2;0,1;0,3;0,1;null;;;;;;;
Горішні Плавні;Дiоксид азоту;0,02;0,6;0,08;0,4;null;;;;;;;
Горішні Плавні;Фенол;0,000;0,2;0,003;0,3;null;;;;;;;
Горішні Плавні;Сажа;0,00;0,1;0,02;0,1;null;;;;;;;
Горішні Плавні;Хлористий водень;0,00;0,0;0,02;0,1;null;;;;;;;
Горішні Плавні;Амiак;0,01;0,2;0,02;0,1;null;;;;;;;
Горішні Плавні;null;null;null;null;null;1,82;;;;;;;
Дніпро;Завислі речовини;0,27;1,8;0,60;1,2;null;;;;;;;
Дніпро;Дiоксид сiрки;0,011;0,2;0,078;0,2;null;;;;;;;
Дніпро;Оксид вуглецю;2,0;0,7;7,0;1,4;null;;;;;;;
Дніпро;Дiоксид азоту;0,08;1,9;0,26;1,3;null;;;;;;;
Дніпро;Оксид азоту;0,04;0,6;0,06;0,2;null;;;;;;;
Дніпро;Сiрководень;0,002;null;0,039;4,9;null;;;;;;;
Дніпро;Фенол;0,002;0,7;0,009;0,9;null;;;;;;;
