city;coordinateNumber;nameImpurity;1March;2March;4March;5March;6March;7March;8March;9March;11March;12March;13March;14March;15March;16March;18March;19March;20March;21March;22March;23March;25March;26March;27March;28March;29March;30March
Київ;5053050;Завислі речовини;0,078384615;0,075615385;0,079961538;0,077807692;0,080653846;0,077;0,080615385;0,078384615;0,075638462;0,077615385;0,080961538;0,077615385;0,077730769;0,075461538;0,077576923;0,076875;0,076875;0,077291667;0,079666667;0,08225;0,078333333;0,081730769;0,078769231;0,078230769;0,081115385;0,081230769
Київ;5053050;Дiоксид сiрки;0,091884211;0,093178947;0,096665789;0,092294737;0,094160526;0,094407895;0,089742105;0,089060526;0,090660526;0,089326316;0,092228947;0,087905263;0,091439474;0,094463158;0,078015789;0,088988889;0,081702778;0,097511111;0,089869444;0,095647222;0,097416667;0,094921053;0,095044737;0,091657895;0,080810526;0,076873684
Київ;5053050;Сульфати;0,019;0,018;0,0195;0,023;0,0205;0,0205;0,021;0,016;0,0175;0,0115;0,013;0,016;0,0185;0,016;0,01;0,016;0,015;0,02;0,021;0,0185;0,0165;0,023;0,023;0,023;0,0155;0,0115
Київ;5053050;Оксид вуглецю;0,9778125;0,7965625;1,0096875;0,90303125;0,7975;0,795;0,7675;0,6428125;0,8828125;0,6146875;0,5821875;0,6334375;0,78125;0,6165625;0,944516129;0,797142857;null;null;null;null;null;null;null;null;null;null
Київ;5053050;Дiоксид азоту;0,115013158;0,121226316;0,12485;0,124926316;0,120452632;0,121939474;0,115165789;0,115305263;0,106752632;0,095818421;0,101428947;0,113281579;0,111186842;0,107534211;0,095652632;0,088925;0,094316667;0,122852778;0,124238889;0,112519444;0,111777778;0,116110526;0,120234211;0,120628947;0,107063158;0,160365789
Київ;5053050;Сiрководень;0,001716667;0,001616667;0,001883333;0,0019;0,0015;0,001383333;0,0015;0,001733333;0,0011;0,00125;0,001483333;0,001183333;0,001616667;0,001683333;0,00115;0,00155;0,0012;0,001816667;0,002366667;0,0022;0,0018;0,001466667;0,002166667;0,0019;0,001616667;0,002166667
Київ;5053050;Фенол;0,002671429;0,0026;0,002614286;0,002835714;0,002842857;0,003028571;0,002635714;0,002428571;0,002457143;0,002514286;0,002321429;0,002307143;0,0024;0,0025;0,002392857;0,002328571;0,001921429;0,002457143;0,002614286;0,002292857;0,002142857;0,002528571;0,002278571;0,00245;0,002235714;0,002628571
Київ;5053050;Фтористий водень;0,000764286;0,000742857;0,000814286;0,000785714;0,000928571;0,000971429;0,000907143;0,000685714;0,000778571;0,000535714;0,000478571;0,000471429;0,000571429;0,000514286;0,0006;0,00067;0,00078;0,0008;0,00058;0,00042;0,00048;0,000528571;0,001135714;0,00055;0,000564286;0,000771429
Київ;5053050;Хлористий водень;0,061505;0,06;0,077355;0,07637;0,0767;0,08513;0,0797;0,080715;0,07666;0,06215;0,05338;0,06543;0,057335;0,04777;0,04077;0,053261111;0,049516667;0,056622222;0,056216667;0,04375;0,064027778;0,060755;0,0605;0,049125;0,037495;0,045275
Київ;5053050;Амiак;0,006855556;0,006844444;0,006638889;0,007438889;0,007333333;0,006572222;0,007261111;0,007105556;0,006861111;0,006933333;0,007088889;0,007205556;0,007461111;0,007122222;0,007105556;0,0069125;0,00648125;0,0075625;0,0073375;0,0071625;0,00748125;0,0074;0,007405556;0,008572222;0,007111111;0,007677778
Київ;5053050;Формальдегiд;0,004665217;0,00541087;0,006302174;0,006791304;0,005458696;0,004269565;0,004432609;0,004519565;0,003765217;0,003221739;0,003697826;0,003723913;0,00403913;0,003347826;0,00266087;0,002959524;0,00362619;0,0051;0,004890476;0,003804762;0,004552381;0,004784783;0,005186957;0,005678261;0,00546087;0,005767391
Вінниця;4922860;Завислі речовини;0,3;0,175;null;0,125;0;0,125;0,225;0,325;0,15;0,075;0;0,025;0,075;0,125;0,025;0,1;0,175;0,65;0,125;0,15;0,275;0,175;0,1;0,025;0;0,025
Вінниця;4922860;Дiоксид сiрки;0,001025;0,000525;null;0,001025;0,0015;0;0,001525;0,000525;0;0,0005;0,0010125;0,0005;0;0,0002625;0,0007625;0,0005;0,001025;0,000525;0,0002625;0,00105;0,000525;0,000525;0,0034;0,0008125;0,000525;0,0018875
Вінниця;4922860;Оксид вуглецю;0,85;0,9;null;0,85;0,4;0,6;0,6;0,8;0,6;0,825;0,925;0,95;1;1,225;0,925;0,975;1;0,9;1,45;0,85;0,75;1,375;0,825;0,85;0,625;0,725
Вінниця;4922860;Дiоксид азоту;0,069175;0,075475;null;0,211475;0,134075;0,068425;0,062225;0,09705;0,080925;0,0822;0,0727;0,0573375;0,0532625;0,0469875;0,0405375;0,062075;0,045375;0,06445;0,101375;0,0627625;0,07595;0,095075;0,063325;0,06675;0,1049625;0,0863625
Вінниця;4922860;Фтористий водень;0,013525;0,002875;null;0,009275;0,00285;0;0,009225;0,002175;0;0,005625;0,0053;0,00245;0,0010625;0,0110875;0,0024875;0,00035;0,010025;0,0014375;0,0021625;0,014225;0,004725;0,000725;0,007225;0,00185;0,0014875;0,0040625
Вінниця;4922860;Амiак;0,0125;0,0036;null;null;null;null;null;null;null;0,00355;0,00355;0,00355;0;0;0,014325;0,014275;0,028725;0,0072;0,005525;0,003725;0;0,016375;0,0073;0;0,0185;0,020375
Вінниця;4922860;Формальдегiд;null;null;null;0;0,00775;0,00975;0,0078;0,00195;0,00585;0,00775;0;0,00385;0,00195;0,0078;0,0214;0;0,00195;0,0157;0;0;0,006;0,0079;0,01185;0,0121;0,00605;0,004
Луцьк;5082530;Завислі речовини;0,05;0,083333333;0,066666667;0,116666667;0,033333333;0,1;0,066666667;0,05;0,083333333;0,1;0,1;0,1;0,116666667;0,066666667;0,066666667;0,05;0,1;0,1;0,066666667;0,066666667;0,1;0,1;0,083333333;0,050466667;0,066666667;0,083333333
Луцьк;5082530;Дiоксид сiрки;0,0022;0,002166667;0,003233333;0,002433333;0,002358333;0,001766667;0,001733333;0,0017;0,00225;0,002;0,002225;0,002033333;0,002875;0,001716667;0,002483333;0,001725;0,002433333;0,001883333;0,002033333;0,001908333;0,002133333;0,001633333;0,001416667;0,001475;0,002266667;0,001183333
Луцьк;5082530;Сульфати;0,01;0,005;0,01;0,01;0,005;0,01;0,01;0,005;0,005;0,01;0,01;0,01;0,015;0,005;0,01;0,01;0,01;0,005;0,01;0,005;0,01;0,01;0,01;0,01;0,01;0,005
Луцьк;5082530;Оксид вуглецю;0,166666667;0;0;0;0;0,166666667;0,333333333;0,166666667;0,333333333;0,5;0,666666667;0,666666667;0,5;0;0;0;0;0,166666667;0,166666667;0;0,5;0,666666667;0,5;0,666666667;0,333333333;0
Луцьк;5082530;Дiоксид азоту;0,132266667;0,068341667;0,050833333;0,112025;0,117358333;0,064591667;0,070058333;0,067341667;0,107;0,103508333;0,096033333;0,1224;0,156108333;0,101891667;0,136766667;0,100208333;0,104258333;0,1148;0,118266667;0,084583333;0,124458333;0,081808333;0,085691667;0,057091667;0,091891667;0,074225
Луцьк;5082530;Оксид азоту;0,08225;0,04015;0,035375;0,0631;0,0509;0,0228;0,025525;0,0158;0,052025;0,061225;0,04275;0,026275;0,08345;0,05535;0,073075;0,049375;0,03275;0,04715;0,05355;0,0351;0,047375;0,03755;0,0525;0,03025;0,053725;0,0478
Луцьк;5082530;Фенол;0,006616667;0,005566667;0,00625;0,006691667;0,00795;0,007533333;0,0074;0,006183333;0,007591667;0,0065;0,009083333;0,008175;0,007691667;0,0057;0,007291667;0,00835;0,0084;0,006025;0,006333333;0,005508333;0,0068;0,006375;0,005875;0,005766667;0,0071;0,004941667
Луцьк;5082530;Формальдегiд;0,00565;0,00535;0,005225;0,0051375;0,0051625;0,00405;0,0032625;0,003825;0,00645;0,005625;0,00495;0,007725;0,0063625;0,003425;0,003375;0,00405;0,0059625;0,0043375;0,003975;0,0036375;0,0049;0,00535;0,0042;0,004425;0,004075;0,0040125
Ужгород;4862230;Завислі речовини;0,1625;0,125;0,1225;0,1575;0,1225;0,125;0,1225;0,12;0,1325;0,1175;0,105;0,0875;0,1075;0,1175;0,11;0,125;0,1325;0,1225;0,1275;0,1025;0,0975;0,11;0,12;0,1175;0,12;0,1425
Ужгород;4862230;Дiоксид сiрки;0,017;0,01525;0,016875;0,01475;0,0145;0,013875;0,013625;0,014625;0,01625;0,015;0,01425;0,012875;0,013;0,013625;0,01525;0,013875;0,014375;0,01525;0,014;0,012625;0,0135;0,01375;0,012375;0,01225;0,011875;0,013625
Ужгород;4862230;Сульфати;0,0065;0,011;0,0095;0,0075;0,0075;0,0055;0,0085;0,01;0,009;0,0055;0,0035;0,0055;0,004;0,0085;0,007;0,0075;0,0065;0,007;0,0045;0,0045;0,004;0,0045;0,006;0,0055;0,006;0,0075
Ужгород;4862230;Оксид вуглецю;1,4425;0,895;1,2175;1,015;0,7375;0,7;0,7275;0,8975;0,8275;0,95;0,7425;0,6725;0,885;1,005;0,64;0,75;0,805;0,79;1,05;0,8275;0,7025;0,71;0,83;0,6675;0,855;0,78
Ужгород;4862230;Дiоксид азоту;0,071625;0,069375;0,06;0,05725;0,05675;0,061;0,06025;0,046125;0,06625;0,0715;0,045125;0,03775;0,048;0,06375;0,067375;0,058625;0,048375;0,0495;0,057125;0,052625;0,042125;0,050875;0,05475;0,046875;0,040625;0,057625
Ужгород;4862230;Оксид азоту;0,024;0,0415;0,04175;0,03725;0,03225;0,02875;0,028;0,02825;0,02725;0,0415;0,02575;0,0225;0,0245;0,03475;0,03625;0,04;0,03025;0,02775;0,02525;0,036;0,0225;0,02875;0,03;0,0345;0,0325;0,05375
