city;coordinateNumber;nameImpurity;1June;3June;4June;5June;6June;7June;8June;10June;11June;12June;13June;14June;15June;17June;18June;19June;20June;21June;22June;24June;25June;26June;27June;28June;29June
Київ;5053050;Завислі речовини;0,077863636;0,07825;0,073368421;0,0785;0,07845;0,079478261;0,0788;0,0782;0,080888889;0,080518519;0,079035714;0,076678571;0,079833333;0,076428571;0,079772727;0,078130435;0,076416667;0,076884615;0,0792;0,076454545;0,078833333;0,080666667;0,080045455;0,080176471;0,0775
Київ;5053050;Дiоксид сiрки;0,057739474;0,061361111;0,063044118;0,066054054;0,060591667;0,061394595;0,066169231;0,0600975;0,063773171;0,050164286;0,063283333;0,061307143;0,0558425;0,05892619;0,055336842;0,053958974;0,054060526;0,057759524;0,0578425;0,059593939;0,061245714;0,06170625;0,060060606;0,064591429;0,067693939
Київ;5053050;Сульфати;0,013;0,014;null;0,02;0,014;0,0185;0,14;0,0175;0,0125;0,0115;0,016;0,015;0,011;0,0185;0,0225;0,0225;0,015;0,016;0,0165;0,017;0,0175;null;0,0205;0,021;0,0225
Київ;5053050;Оксид вуглецю;0,868666667;0,963666667;1,183333333;0,925;1,066666667;1,036333333;1,088;1,087666667;0,6721875;0,500625;0,6175;0,6821875;0,685;0,995;1,01375;0,9715625;0,765;0,7784375;1,2525;0,823666667;0,87;0,929333333;1,110666667;1,337333333;1,103571429
Київ;5053050;Дiоксид азоту;0,133578947;0,136511111;0,121455882;0,131724324;0,138536111;0,137240541;0,131448718;0,1300675;0,125356098;0,087988095;0,120011905;0,124757143;0,1347025;0,132278571;0,141210526;0,159628205;0,130771053;0,128611905;0,1380375;0,16156875;0,145922857;0,158229032;0,157071875;0,165368571;0,177734375
Київ;5053050;Сiрководень;0,00235;0,002125;0,001975;0,002475;0,002375;0,0023;0,002825;0,0018;0,0019;0,001483333;0,00215;0,002016667;0,001633333;0,0023;0,002333333;0,003;0,001766667;0,002283333;0,002616667;0,00214;0,002133333;0,002625;0,00284;0,00264;0,0029
Київ;5053050;Фенол;0,00363;0,00394;0,0041;0,00472;0,0047625;0,004963636;0,004563636;0,005191667;0,004864286;0,005292308;0,005271429;0,004785714;0,004691667;0,005114286;0,005372727;0,005216667;0,005375;0,005276923;0,005430769;0,005266667;0,00549;0,00533;0,005438462;0,005888889;0,005583333
Київ;5053050;Фтористий водень;0,00084;0,001036364;0,001072727;0,000888889;0,001181818;0,0012;0,000983333;0,001218182;0,001057143;0,000728571;0,000985714;0,000957143;0,000830769;0,000957143;0,001;0,000983333;0,000938462;0,000969231;0,000914286;0,001042857;0,00108;0,001145455;0,001057143;0,001218182;0,001076923
Київ;5053050;Хлористий водень;0,063888235;0,08493125;0,084464706;0,0922625;0,087988235;0,092211111;0,077133333;0,079764706;0,07591;0,06162;0,076595;0,0756;0,05965;0,079115;0,085373684;0,092968421;0,079221053;0,082968421;0,087145;0,078073684;0,089311111;0,08638;0,0936;0,097388235;0,091161111
Київ;5053050;Амiак;0,006635714;0,007413333;0,007161538;0,007633333;0,007121429;0,0079125;0,00765;0,007475;0,007544444;0,007316667;0,007644444;0,007466667;0,007582353;0,007661111;0,007625;0,008188235;0,007317647;0,008311765;0,007211111;0,0074125;0,007561538;0,008064286;0,008666667;0,009384615;0,008676471
Київ;5053050;Формальдегiд;0,004925;0,004353846;0,004767568;0,004676316;0,004826316;0,00464;0,004127907;0,004074419;0,003053333;0,002017778;0,003104348;0,002526087;0,001981395;0,003243478;0,003963415;0,004704878;0,003;0,003095455;0,003463636;0,003078378;0,004111765;0,004069697;0,004862162;0,004652941;0,004917647
Вінниця;4922860;Завислі речовини;0,1;0,1;0,075;0,05;0;0,1;0,275;0,25;0,15;0,05;0,025;0,05;0,05;0,175;0,225;0,225;0,15;0,05;0,125;0,55;0,275;0,425;0,4;0,275;0,525
Вінниця;4922860;Дiоксид сiрки;0,0011;0;0,00055;0,000275;0,0011;0,003775;0,0005375;0,00055;0;0,000275;0,0005375;0,0005375;0,0010875;0,00055;0,0013625;0,0016625;0,0008125;0,00135;0,0002625;0,0029875;0,0010875;0,002175;0,0024875;0,000825;0,0016625
Вінниця;4922860;Оксид вуглецю;0,8;0,85;0,95;0,75;0,7;0,925;0,8;0,85;0,825;0,825;0,8;0,725;0,875;1,65;1,075;0,85;0,85;1,05;0,875;0,7;0,9;1;0,95;0,9;0,75
Вінниця;4922860;Дiоксид азоту;0,0603125;0,0784875;0,0970875;0,0548875;0,066575;0,1207;0,0722125;0,0389875;0,094525;0,0696375;0,0622125;0,059175;0,0445625;0,0598625;0,0888625;0,0519625;0,079775;0,0645125;0,071825;0,074275;0,0398375;0,079525;0,0781875;0,073975;0,0521875
Вінниця;4922860;Фтористий водень;0,0094125;0,007625;0,0049375;0,0101875;0,005675;0,005275;0,0138625;0,0015125;0,005425;0,0087;0,009725;0;0,007525;0,0049125;0,0045;0,0102875;0,011775;0,0056625;0,01455;0,006775;0,009075;0,00645;0,0102;0,012275;0,0072875
Вінниця;4922860;Амiак;0,0075;0,036275;0,024875;0,023;0,02295;0,015;0,00385;0,0134;0,0038;0,0228;0,02825;0,013175;0,020725;0,018975;0,017175;0,01925;0,0229;0;0,023025;0,00565;0,017075;0,02655;0,0096;0,0039;0,0096
Вінниця;4922860;Формальдегiд;0,00835;0,0105;0,01455;0;0;0,0103;0,00205;0;0,0021;0,0021;0,00815;0,00615;0,0103;0,01035;0,00845;0,01265;0,0104;0;0,0021;0,0062;0,01235;0,0125;0,01465;0;0,01265
Луцьк;5082530;Завислі речовини;0,033333333;0,1;0,05;0,033333333;0,066666667;0,1;0,066666667;0,083333333;0,066666667;0,1;0,066666667;0,05;0,083333333;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Дiоксид сiрки;0,001608333;0,002541667;0,00245;0,002208333;0,002166667;0,00145;0,001983333;0,002091667;0,002741667;0,003208333;0,00215;0,001691667;0,00105;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Сульфати;0,005;0,005;0;0,005;0,01;0,01;0,005;0,005;0,01;0,01;0,005;0,005;0,005;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Оксид вуглецю;0;0;0,166666667;0,166666667;0;0,166666667;0;0,5;0;0;0;0,333333333;0;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Дiоксид азоту;0,05995;0,10265;0,115566667;0,077291667;0,054208333;0,039275;0,051808333;0,057116667;0,103633333;0,136975;0,071333333;0,070383333;0,053041667;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Оксид азоту;0,024325;0,03565;0,0609;0,03335;0,011625;0,015025;0,020825;0,018475;0,0668;0,0666;0,032125;0,024275;0,0194;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Фенол;0,005891667;0,00845;0,007391667;0,0069;0,007808333;0,0077;0,006041667;0,006033333;0,007933333;0,008558333;0,00775;0,007025;0,006033333;null;null;null;null;null;null;null;null;null;null;null;null
Луцьк;5082530;Формальдегiд;0,0086875;0,0079125;0,0070375;0,0060875;0,0059625;0,006225;0,005375;0,006125;0,0108125;0,0100375;0,0056375;0,0054125;0,0055875;null;null;null;null;null;null;null;null;null;null;null;null
Ужгород;4862230;Завислі речовини;0,1225;0,1675;0,12;0,125;0,105;0,0975;0,12;0,09;0,0875;0,095;0,1075;0,1075;0,086666667;0,125;0,1575;0,153333333;0,19;0,2425;0,23;0,2075;0,18;0,13;0,1625;0,1375;0,155
Ужгород;4862230;Дiоксид сiрки;0,012125;0,01725;0,015714286;0,0122;0,0132;0,012857143;0,014142857;0,013571429;0,01525;0,012125;0,012125;0,01275;0,012571429;0,015;0,01775;0,015142857;0,017166667;0,0185;0,018125;0,017571429;0,014166667;0,015833333;0,015875;0,015625;0,016166667
Ужгород;4862230;Сульфати;0,004;0,0035;0,005;null;null;0,0035;0,0065;0,005;0,0045;0,005;0,006;0,011;0,003;0,007;0,0085;0,01;null;0,0075;0,008;0,011;null;0,0085;0,01;0,012;0,0105
