city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Київ;5053050;Завислі речовини;null;0,067090909;0,066571429;0,066222222;0,06615;0,067045455;0,070875;null;0,07124;0,069916667;0,069227273;0,069653846;0,07;0,06864;null;0,07075;0,072038462;0,07244;0,072291667;0,073458333;0,072583333;null;0,071913043;0,070625;0,069608696;0,06916;0,069791667;0,072230769;null;0,071192308;0,070384615;
Київ;5053050;Дiоксид сiрки;null;0,073354839;0,07655;0,074975;0,076112903;0,078802857;0,078373684;null;0,079802632;0,080141026;0,081647368;0,0865;0,0996175;0,089007692;null;0,0846;0,093947368;0,089308333;0,089052941;0,095638235;0,086482353;null;0,090387097;0,0869125;0,088691176;0,085386111;0,086687879;0,092463158;null;0,090018421;0,094573684;
Київ;5053050;Сульфати;null;null;null;null;null;null;0,0105;null;0,0135;0,014;0,015;0,013;0,0165;0,0135;null;0,014;0,0155;0,018;0,019;0,02;0,0165;null;0,0195;0,021;0,0165;0,0175;0,019;0,015;null;0,017;0,0175;
Київ;5053050;Оксид вуглецю;null;0,906538462;0,685;0,770714286;0,685;0,790357143;0,719;null;0,783666667;0,924;0,952;0,9209375;0,82125;0,5615625;null;0,773333333;0,816;0,983333333;0,839666667;1,104666667;0,813;null;0,93862069;0,964666667;0,984666667;0,861724138;0,863928571;0,725333333;null;0,813333333;0,811333333;
Київ;5053050;Дiоксид азоту;null;0,064225806;0,068688235;0,066890625;0,067970968;0,074745714;0,074868421;null;0,070647368;0,065033333;0,065718421;0,063689744;0,064685;0,061428205;null;0,069635897;0,079068421;0,083783333;0,085670588;0,082555882;0,081332353;null;0,086580645;0,08396875;0,085814706;0,081716667;0,083751515;0,084568421;null;0,083347368;0,08005;
Київ;5053050;Сiрководень;null;0,0017;0,001883333;0,0017;0,001616667;0,002416667;0,002133333;null;0,002066667;0,001866667;0,0019;0,001883333;0,001616667;0,001516667;null;0,00195;0,002075;0,001775;0,002025;0,002025;0,0018;null;0,00194;0,002083333;0,001816667;0,001683333;0,001916667;0,0018;null;0,001933333;0,001983333;
Київ;5053050;Фенол;null;0,002472727;0,002254545;0,00218;0,001981818;0,001927273;0,001976923;null;0,002228571;0,002207692;0,0019;0,002053846;0,002169231;0,002130769;null;0,00217;0,002341667;0,002145455;0,00234;0,00216;0,00219;null;0,00237;0,00205;0,002;0,002233333;0,002133333;0,002025;null;0,002091667;0,001908333;
Київ;5053050;Фтористий водень;null;0,00084;0,000544444;0,000575;0,00064;0,0008125;0,0008;null;0,00071;0,000522222;0,00065;0,000757143;0,000630769;0,000615385;null;0,000627273;0,000908333;0,000745455;0,00085;0,000775;0,0006625;null;0,000933333;0,00075;0,000872727;0,000728571;0,000621429;0,000671429;null;0,000678571;0,000764286;
Київ;5053050;Хлористий водень;null;0,061308333;0,05856875;0,061013333;0,0605875;0,061606667;0,051344444;null;0,060511111;0,061805556;0,055276471;0,05954;0,05883;0,058421053;null;0,060088889;0,062522222;0,065388889;0,0699;0,06885;0,056855556;null;0,0624;0,059092857;0,058630769;0,05506;0,06094375;0,056635;null;0,05915;0,06041;
Київ;5053050;Амiак;null;0,008306667;0,007870588;0,007153333;0,007617647;0,00838125;0,007776471;null;0,0079;0,0078;0,00728125;0,0077;0,008258824;0,00775625;null;0,007766667;0,0075875;0,00764;0,00705;0,007442857;0,007171429;null;0,008058333;0,007983333;0,007576923;0,007192857;0,007071429;0,00799375;null;0,00811875;0,0077125;
