city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Київ;5053050;Завислі речовини;0,080846154;0,085384615;0,0825;0,080153846;0,076615385;0,067807692;0,076923077;0,081730769;0,079923077;0,077230769;0,078846154;0,079730769;0,078653846;0,078307692;0,0775;0,075923077;0,078153846;0,076230769;0,077230769;0,078192308;0,0764;0,0797284;0,079230769;0,076269231;0,077192308;0,074730769
Київ;5053050;Дiоксид сiрки;0,073060526;0,074794737;0,073523684;0,069986842;0,071165789;0,065986842;0,070186842;0,0683;0,073336842;0,074023684;0,068018421;0,07265;0,066836842;0,068886842;0,062039474;0,061986842;0,071228947;0,070310526;0,071071053;0,069884211;0,067669444;0,06815;0,071728947;0,070310526;0,069410526;0,069394737
Київ;5053050;Сульфати;0,0205;0,0135;0,012;0,0135;0,018;0,0175;0,023;0,021;0,0205;0,022;0,019;0,016;0,014;0,009;0,0095;0,009;0,033;0,0095;0,0145;0,016;0,0135;0,0135;0,015;0,0185;0,02;0,021
Київ;5053050;Оксид вуглецю;null;null;null;null;null;null;null;2,13;1,7728125;1,7834375;1,6771875;1,3184375;1,7584375;1,61125;1,6940625;1,854375;1,9509375;1,2509375;1,523125;1,3365625;1,375625;1,4146875;1,7053125;1,4328125;1,9865625;1,65
Київ;5053050;Дiоксид азоту;0,16535;0,138173684;0,104786842;0,115939474;0,116873684;0,113994737;0,114671053;0,115413158;0,109084211;0,115984211;0,112126316;0,096565789;0,096678947;0,077626316;0,073513158;0,068181579;0,091157895;0,093381579;0,088960526;0,105989474;0,098477778;0,126137143;0,109857895;0,13825;0,1468;0,132494737
Київ;5053050;Сiрководень;0,002366667;0,0024;0,001766667;0,001966667;0,001533333;0,0018;0,002216667;0,002283333;0,002483333;0,002033333;0,002133333;0,002416667;0,001783333;0,00175;0,001433333;0,001416667;0,001466667;0,002;0,001983333;0,0018;0,0015;0,0022;0,001766667;0,0019;0,0023;0,00175
Київ;5053050;Фенол;0,002592857;0,002535714;0,0022;0,002407143;0,002242857;0,002007143;0,002371429;0,001935714;0,002392857;0,00255;0,002464286;0,002264286;0,002521429;0,002292857;0,002321429;0,00245;0,002321429;0,002621429;0,002457143;0,002464286;0,002385714;0,002685714;0,002792857;0,002814286;0,002814286;0,002978571
Київ;5053050;Фтористий водень;0,000728571;0,0008;0,000785714;0,000685714;0,000771429;0,000814286;0,001057143;0,000885714;0,000985714;0,000885714;0,000842857;0,000514286;0,000771429;0,000557143;0,0005;0,000485714;0,000514286;0,0004;0,000542857;0,000521429;0,000471429;0,000585714;0,000785714;0,000642857;0,000964286;0,000814286
Київ;5053050;Хлористий водень;0,058225;0,059825;0,05687;0,06702;0,0671;0,061935;0,076835;0,08313;0,081795;0,082435;0,077465;0,068295;0,072925;0,059745;0,04208;0,034515;0,053895;0,05891;0,065955;0,06653;0,05503;0,06966;0,07637;0,07303;0,08151;0,0858
Київ;5053050;Амiак;0,007194444;0,007383333;0,007016667;0,007188889;0,007305556;0,007033333;0,007605556;0,007477778;0,007711111;0,007533333;0,007477778;0,007655556;0,007316667;0,007244444;0,007461111;0,0072;0,006977778;0,007333333;0,007166667;0,007333333;0,006727778;0,007055556;0,007427778;0,007833333;0,007516667;0,00715
Київ;5053050;Формальдегiд;0,006815217;0,005504348;0,003728261;0,006108696;0,006136957;0,005963043;0,007606522;0,008295652;0,008506522;0,007273913;0,007513043;0,005645652;0,003367391;0,002408696;0,00186087;0,001547826;0,001669565;0,001791304;0,001382609;0,001913043;0,001163636;0,002283721;0,002121739;0,002419565;0,003721739;0,00468913
Вінниця;4922860;Завислі речовини;0;0,025;0,025;0,15;0;0;0,075;0,325;0,225;0,1;0;0;0,05;0,125;0,125;0,325;0,15;0,275;0,175;0;0;0,175;0,325;0,375;0,35;0,175
Вінниця;4922860;Дiоксид сiрки;0,0016125;0,0032625;0,000525;0,0007875;0,0049625;0,002625;0,0021375;0,0008125;0,0008;0,0002625;0;0,000525;0;0;0,0002625;0,001575;0,0002625;0,0018125;0,0007875;0,0002625;0,0010625;0,00105;0;0,0010375;0;0,00105
Вінниця;4922860;Оксид вуглецю;0,5;0,775;0,7;0,925;0,975;0,85;0,65;0,95;1;0,725;0,525;0,675;0,65;0,85;0,95;0,625;0,675;1;0,875;1,05;1,075;1,125;0,725;0,975;1,075;0,8
Вінниця;4922860;Дiоксид азоту;0,0466125;0,069725;0,0686375;0,0502;0,0445875;0,088775;0,112175;0,0949875;0,1208;0,058575;0,093125;0,093675;0,0635875;0,0959;0,0881125;0,0639625;0,0940375;0,0745375;0,1053625;0,1152375;0,1038875;0,097125;0,077225;0,0723125;0,0914125;0,1081125
