city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Київ;5053050;Завислі речовини;0,057708333;0,05824;0,075807692;0,061692308;0,068423077;null;0,069142857;0,066321429;0,062111111;0,06204;0,067125;0,065666667;null;0,068708333;0,078875;0,08072;0,070346154;0,062115385;0,073538462;null;0,074607143;0,074142857;0,075214286;0,070857143;0,07925;0,070214286;null;0,075357143;0,073357143;0,070964286
Київ;5053050;Дiоксид сiрки;0,061108333;0,063431579;0,0601875;0,0666275;0,06448;null;0,06104878;0,058857143;0,05762439;0,057161111;0,054144118;0,0577;null;0,055411765;0,054570588;0,057082353;0,057305263;0,058726316;0,057784211;null;0,060130952;0,064628571;0,061107143;0,068609524;0,062757143;0,062219048;null;0,057783333;0,061528571;0,061316667
Київ;5053050;Сульфати;0,012;0,015;0,0165;0,0195;0,018;null;0,0175;0,018;0,0195;0,018;0,0155;0,0165;null;0,0195;0,02;0,02;0,0185;0,0185;0,016;null;0,0175;0,0195;0,0195;0,02;0,019;0,017;null;0,019;0,0185;0,0185
Київ;5053050;Оксид вуглецю;1,2475;1,314285714;1,650714286;1,220714286;0,981428571;null;1,145;1,006;0,955;0,967931034;1,128571429;1,146785714;null;1,379642857;1,396428571;1,308214286;1,3075;1,688928571;1,2475;null;1,320333333;1,308333333;1,292333333;1,685;1,339;1,075666667;null;1,264666667;1,172333333;0,966666667
Київ;5053050;Дiоксид азоту;0,092988889;0,092815789;0,0912325;0,0989875;0,09738;null;0,094343902;0,089764286;0,086921951;0,088025;0,087167647;0,084552941;null;0,093208824;0,093373529;0,103282353;0,113371053;0,108047368;0,102989474;null;0,10457381;0,117014286;0,120821429;0,11952619;0,114545238;0,086645238;null;0,093180952;0,105059524;0,105864286
Київ;5053050;Сiрководень;0,000525;0,0005;0,00085;0,00115;0,000825;null;0,000633333;0,00055;0,00085;0,0006;0,0004;0,000566667;null;0,00065;0,000916667;0,0008;0,001116667;0,000983333;0,000933333;null;0,001233333;0,001333333;0,00105;0,001416667;0,001133333;0,000833333;null;0,000716667;0,0009;0,00095
Київ;5053050;Фенол;0,002192857;0,002221429;0,002157143;0,002364286;0,002264286;null;0,002214286;0,00215;0,002257143;0,002069231;0,002208333;0,002425;null;0,002316667;0,002191667;0,002275;0,0024;0,002375;0,002508333;null;0,002542857;0,002557143;0,002507143;0,002621429;0,002357143;0,0025;null;0,002228571;0,002257143;0,002342857
Київ;5053050;Фтористий водень;0,000764286;0,000685714;0,0009;0,000792857;0,000661538;null;0,000825;0,000671429;0,000885714;0,000664286;0,000871429;0,000635714;null;0,000921429;0,000678571;0,000828571;0,000857143;0,000885714;0,000885714;null;0,000971429;0,000857143;0,000971429;0,001014286;0,001071429;0,000792857;null;0,000842857;0,000914286;0,0009
Київ;5053050;Хлористий водень;0,0561375;0,0572875;0,0657375;0,0653375;0,07005625;null;0,06055;0,05972;0,060035;0,06389;0,060055;0,0569;null;0,060025;0,06017;0,058735;0,06479;0,075425;0,06852;null;0,06622;0,07217;0,075455;0,07876;0,07652;0,07549;null;0,07242;0,071445;0,079515
Київ;5053050;Амiак;0,008457143;0,008485714;0,00895;0,0089;0,008569231;null;0,008047059;0,008044444;0,007983333;0,007882353;0,008475;0,00823125;null;0,00866875;0,00839375;0,00888125;0,008675;0,008775;0,00885;null;0,009066667;0,009094444;0,009216667;0,009183333;0,009172222;0,008083333;null;0,007972222;0,008322222;0,008716667
Київ;5053050;Формальдегiд;0,003397619;0,003302381;0,003390476;0,003864286;0,002868293;null;0,003247727;0,003326087;0,002997826;0,0034;0,003114286;0,003342857;null;0,003685714;0,003716667;0,003685714;0,003733333;0,003880952;0,003895238;null;0,004202174;0,004397826;0,004178261;0,004930435;0,005391304;0,003043478;null;0,002921739;0,003506522;0,004519565
Вінниця;4922860;Завислі речовини;0,025;0;0,15;0,275;0,375;null;0,25;0;0,075;0,05;0,275;0,025;null;0,05;0;0,075;0,125;0,05;0,15;null;0;0;0;0,15;0,175;0,15;null;0;0,05;0
Вінниця;4922860;Дiоксид сiрки;0,0007875;0,0007875;0,001575;0,0008125;0,0007875;null;0,0005125;0,00025;0;0;0;0,000525;null;0;0,0002625;0,000525;0;0;0;null;0,000275;0;0,0005375;0,000825;0,001675;0;null;0;0,000275;0
Вінниця;4922860;Оксид вуглецю;1;0,95;0,95;1,425;1,125;null;0,85;0,875;0,875;0,825;1,05;1,05;null;0,875;0,825;0,825;0,725;0,675;0,775;null;0,75;0,925;0,95;1,075;0,55;0,775;null;1,025;0,75;0,85
Вінниця;4922860;Дiоксид азоту;0,0484;0,0662375;0,04385;0,047125;0,03795;null;0,042825;0,0710125;0,0666375;0,0618125;0,0704375;0,0475;null;0,027125;0,0315125;0,024275;0,0707125;0,0669125;0,052375;null;0,0682875;0,1009;0,0870875;0,0860875;0,097275;0,03815;null;0,0680125;0,0587375;0,0878375
