city;coordinateNumber;nameImpurity;1July;2July;3July;4July;5July;6July;8July;9July;10July;11July;12July;13July;15July;16July;17July;18July;19July;20July;22July;23July;24July;25July;26July;27July;29July;31July;30July;
Київ;5053050;Завислі речовини;0,078470588;0,076941176;0,078266667;0,077142857;0,075294118;0,076105263;0,077;0,075666667;0,076684211;0,077222222;0,076882353;0,078611111;0,074529412;0,07825;0,073526316;0,077111111;0,0779375;0,077045455;0,08075;0,079263158;0,077045455;0,076227273;0,079269231;0,0795;0,07837037;0,07525;0,078428571;
Київ;5053050;Дiоксид сiрки;0,06246;0,066493103;0,061737037;0,067774194;0,064376667;0,065496774;0,071623529;0,059082353;0,05730625;0,0614375;0,0625375;0,057143333;0,060509677;0,058069697;0,060090323;0,05483871;0,056834375;0,062123077;0,060317647;0,060521053;0,056944737;0,057510256;0,06545;0,055441463;0,058552381;0,055990244;0,064514286;
Київ;5053050;Сульфати;0,019;0,021;0,025;0,016;0,012;0,0145;0,021;0,026;0,019;0,014;0,026;0,018;;0,0215;0,016;0,013;0,014;0,016;0,016;0,018;0,017;0,013;0,0205;0,017;0,015;0,0155;0,0175;
Київ;5053050;Оксид вуглецю;1,016785714;1,044642857;1,026785714;1,117857143;1,125;0,96;1,506333333;0,967333333;1,054666667;1,301333333;1,518266667;1,257433333;1,503;1,286666667;1,086333333;1,053333333;1,190666667;1,3596875;1,0415625;0,8715625;0,8909375;0,993125;1,128125;1,2240625;1,153125;0,9575;0,70378125;
Київ;5053050;Дiоксид азоту;0,166003448;0,161165517;0,157269231;0,15171;0,151356667;0,165483333;0,158160606;0,161544118;0,152158065;0,169270968;0,169253125;0,174313793;0,158343333;0,1782;0,18472069;0,185383333;0,161983871;0,160862162;0,160451515;0,160581579;0,159294595;0,156581579;0,158355;0,1462875;0,137895238;0,132970732;0,14737381;
Київ;5053050;Сiрководень;0,00284;0,003133333;0,00268;0,00252;0,002916667;0,00282;0,00274;0,002083333;0,00286;0,0022;0,002533333;0,00298;0,00224;0,0022;0,001825;0,00176;0,0021;0,0018;0,00206;0,001983333;0,0025;0,00196;0,00235;0,00228;0,001766667;0,00195;0,002616667;
Київ;5053050;Фенол;0,00575;0,005883333;0,005936364;0,005638462;0,00525;0,005333333;0,005741667;0,005825;0,005566667;0,005791667;0,006145455;0,005608333;0,005790909;0,005553846;0,005576923;0,005663636;0,005472727;0,005675;0,005884615;0,005727273;0,006781818;0,006330769;0,006021429;0,006123077;0,005907143;0,005428571;0,006;
Київ;5053050;Фтористий водень;0,001258333;0,001136364;0,001109091;0,001085714;0,001054545;0,001116667;0,00135;0,00122;0,001215385;0,00115;0,00114;0,001215385;0,001158333;0,00114;0,001135714;0,001225;0,001054545;0,000861538;0,001076923;0,001036364;0,001016667;0,001033333;0,0011;0,000966667;0,000723077;0,000657143;0,000757143;
Київ;5053050;Хлористий водень;0,101414286;0,096969231;0,089069231;0,100426667;0,095261538;0,089685714;0,1041;0,092015385;0,099571429;0,1011;0,094115385;0,09875;0,091864286;0,089633333;0,087914286;0,087442857;0,0859;0,073377778;0,08005625;0,087194444;0,080994444;0,07699375;0,088995;0,069744444;0,073021053;0,07372;0,079825;
Київ;5053050;Амiак;0,009015385;0,008542857;0,007525;0,008293333;0,007578571;0,008246154;0,008066667;0,007792857;0,008321429;0,008630769;0,007907692;0,008407143;0,0086;0,007792308;0,008271429;0,008808333;0,008036364;0,007985714;0,00815;0,007571429;0,007653333;0,007378571;0,007961111;0,00821875;0,008038889;0,008361111;0,008544444;
