city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Київ;5053050;Завислі речовини;0,07;0,06;0,07;0,07;0,06;null;0,07;0,07;0,07;0,08;0,07;0,07;null;0,07;0,07;0,07;0,06;0,07;0,07;null;0,07;0,07;0,07;0,07;0,07;0,08;null;0,07;0,07;0,07;0,07
Київ;5053050;Дiоксид сiрки;0,061;0,062;0,061;0,07;0,061;null;0,067;0,066;0,067;0,069;0,062;0,068;null;0,067;0,066;0,063;0,068;0,063;0,062;null;0,067;0,065;0,062;0,061;0,062;0,063;null;0,055;0,062;0,053;0,065
Київ;5053050;Сульфати;0,01;0,02;0,02;0,02;0,02;null;0,02;0,02;null;null;null;null;null;null;null;null;null;null;null;null;null;null;0,01;0,01;0,02;0,02;null;0,01;0,01;0,01;0,02
Київ;5053050;Оксид вуглецю;1;1;0,8;1;1,7;null;1,1;1,5;1,6;2;1,5;1,4;null;1,4;1,5;1,5;1,4;1,5;1,5;null;1,9;1,6;1,5;1,9;2;1,8;null;1,8;1,8;1,8;2,1
Київ;5053050;Дiоксид азоту;0,12;0,12;0,14;0,14;0,14;null;0,14;0,13;0,14;0,12;0,13;0,12;null;0,13;0,13;0,13;0,11;0,11;0,11;null;0,12;0,12;0,12;0,12;0,12;0,12;null;0,11;0,11;0,08;0,1
Київ;5053050;Сiрководень;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001
Київ;5053050;Фенол;0,002;0,003;0,003;0,003;0,003;null;0,003;0,003;0,003;0,003;0,002;0,003;null;0,003;0,003;0,003;0,003;0,003;0,003;null;0,003;0,003;0,003;0,003;0,003;0,003;null;0,003;0,003;0,002;0,003
Київ;5053050;Фтористий водень;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001;0,001;0,001;null;0,001;0,001;0,001;0,001
Київ;5053050;Хлористий водень;0,08;0,08;0,08;0,1;0,08;null;0,1;0,1;0,1;0,11;0,1;0,1;null;0,1;0,1;0,1;0,08;0,09;0,09;null;0,1;0,08;0,09;0,1;0,09;0,08;null;0,08;0,08;0,08;0,09
Київ;5053050;Амiак;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,01;0,01;0,01
