city;coordinateNumber;nameImpurity;1November;2November;3November;4November;5November;6November;7November;8November;9November;10November;11November;12November;13November;14November;15November;16November;17November;18November;19November;20November;21November;22November;23November;24November;25November;26November;27November;28November;29November;30November
Київ;5053050;Завислі речовини;0,074875;0,073769231;null;0,072740741;0,069857143;0,073035714;0,075321429;0,072714286;0,07025;null;0,069714286;0,069923077;0,071384615;0,071423077;0,071807692;0,07325;null;0,07204;0,072956522;0,07372;0,070363636;0,073;0,07252;null;0,068269231;0,070076923;0,066363636;0,069111111;0,067;0,068285714
Київ;5053050;Дiоксид сiрки;0,081994444;0,085355;null;0,078315;0,079404762;0,07987381;0,08325;0,082721429;0,083211905;null;0,078883333;0,085539474;0,085407895;0,079028947;0,081239474;0,075061905;null;0,075823077;0,082189474;0,079189744;0,082952778;0,078961538;0,074869231;null;0,080105263;0,0803;0,076331034;0,075518519;0,073990323;0,074758065
Київ;5053050;Сульфати;0,0175;0,016;null;0,0135;0,0125;0,0155;0,016;0,018;0,014;null;0,0165;0,0145;0,014;0,0115;0,0145;0,015;null;0,013;0,0155;0,019;0,008;0,0135;0,014;null;0,0165;0,0145;null;null;null;null
Київ;5053050;Оксид вуглецю;0,866428571;0,672;null;0,91483871;1,009375;0,824375;1,1146875;1,0884375;1,0409375;null;1,2625;1,284;1,122333333;1,160333333;0,957;1,4659375;null;1,0325;0,97;0,849666667;1,030666667;1,403666667;1,494666667;null;1,457666667;1,317;1,177142857;1,365714286;1,09;1,232857143
Київ;5053050;Дiоксид азоту;0,072391667;0,0783725;null;0,0711575;0,076852381;0,082104762;0,083957143;0,079414286;0,079528571;null;0,072945238;0,086834211;0,086473684;0,088186842;0,090989474;0,085540476;null;0,084133333;0,085071053;0,086007692;0,075819444;0,070192308;0,077197436;null;0,069707895;0,067980556;0,072475862;0,076614286;0,067145161;0,069358065
Київ;5053050;Сiрководень;0,002075;0,00185;null;0,001675;0,001666667;0,001883333;0,001883333;0,00195;0,001883333;null;0,001633333;0,001766667;0,001983333;0,001666667;0,00195;0,002433333;null;0,001783333;0,001675;0,001725;0,00145;0,001525;0,0016;null;0,0015;0,001675;0,001825;0,002275;0,00195;0,001875
Київ;5053050;Фенол;0,00365;0,003358333;null;0,003784615;0,003414286;0,003685714;0,003535714;0,003285714;0,003414286;null;0,003121429;0,0029;0,002907143;0,002985714;0,0031;0,002892857;null;0,002858333;0,003038462;0,003269231;0,003115385;0,002585714;0,002764286;null;0,002484615;0,0023;0,00266;0,002455556;0,002733333;0,002288889
Київ;5053050;Фтористий водень;0,000916667;0,000741667;null;0,000676923;0,000742857;0,000721429;0,000628571;0,000614286;0,000642857;null;0,000492857;0,000592857;0,000642857;0,000635714;0,000771429;0,001021429;null;0,000907143;0,000730769;0,000728571;0,000521429;0,000661538;0,000578571;null;0,000764286;0,00065;0,000621429;0,000616667;0,000709091;0,0007
Київ;5053050;Хлористий водень;0,073314286;0,062288889;null;0,061489474;0,06292;0,064725;0,07;0,06743;0,061425;null;0,06219;0,06092;0,06035;0,06225;0,06161;0,064085;null;0,063685;0,070653333;0,0698875;0,0634375;0,06676;0,0617;null;0,068375;0,06196875;0,064614286;0,053154545;0,057566667;0,0632
Київ;5053050;Амiак;0,007728571;0,00764375;null;0,007776471;0,007661111;0,007394444;0,008161111;0,008211111;0,007644444;null;0,007811111;0,007722222;0,007616667;0,0077;0,008116667;0,008744444;null;0,008088235;0,007866667;0,00706875;0,0075125;0,00745625;0,00776875;null;0,007866667;0,008292857;0,008242857;0,007190909;0,0082;0,007683333
