city;coordinateNumber;nameImpurity;1February;2February;3February;5February;6February;7February;8February;9February;10February;11February;12February;13February;14February;15February;16February;17February;19February;20February;21February;22February;23February;24February;26February;27February;28February;29February
Київ;5053050;Завислі речовини;0,076857143;0,077964286;0,081678571;0,078178571;0,077964286;0,080357143;0,077333333;0,077153846;0,077423077;null;0,078961538;0,077769231;0,076846154;0,081;0,076615385;0,077384615;0,073333333;0,073;0,075625;0,079083333;0,079375;0,076416667;0,076958333;0,076041667;0,075;0,077076923
Київ;5053050;Дiоксид сiрки;0,094547619;0,09017381;0,081097619;0,084780952;0,080264286;0,088866667;0,085434146;0,087239474;0,074521053;null;0,087152632;0,087292105;0,083523684;0,085297368;0,088439474;0,074410526;0,088805882;0,085352941;0,087161765;0,09555;0,095758824;0,085164706;0,095573529;0,093876471;0,097491176;0,092486842
Київ;5053050;Сульфати;0,02;0,0195;0,0195;0,0185;0,021;0,0175;0,0195;0,019;0,0165;0,011;0,0205;0,021;0,019;0,017;0,021;0,0165;0,0195;0,015;0,0155;0,015;0,0185;0,0195;0,0175;0,018;0,0215;0,0225
Київ;5053050;Оксид вуглецю;1,1328125;0,939375;0,586875;0,6834375;0,7565625;0,823125;0,786875;0,92625;0,76375;null;1,15125;1,335;1,4671875;1,3746875;1,2115625;0,7709375;0,963;0,719;0,981;0,813666667;0,801666667;0,594333333;0,802333333;0,892333333;0,756333333;1,0621875
Київ;5053050;Дiоксид азоту;0,06215;0,063707143;0,056680952;0,052290476;0,050388095;0,063185714;0,06885122;0,063894737;0,055760526;null;0,055797368;0,063294737;0,0664;0,058721053;0,060665789;0,057818421;0,065967647;0,069661765;0,073602941;0,097894118;0,097273529;0,105473529;0,103767647;0,105252941;0,113191176;0,117610526
Київ;5053050;Оксид азоту;0,036075;0,03735;0,0315;0,0316;0,03035;0,0383;0,0395;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Київ;5053050;Сiрководень;0,001766667;0,001766667;0,001833333;0,001733333;0,00165;0,002;0,001866667;0,001766667;0,00155;null;0,001716667;0,00175;0,001616667;0,001933333;0,001716667;0,00145;0,001433333;0,001533333;0,001916667;0,0019;0,001883333;0,0017;0,001916667;0,001766667;0,00185;0,001933333
Київ;5053050;Фенол;0,001583333;0,001494444;0,001427778;0,001516667;0,00135;0,001672222;0,001458824;0,001492857;0,001685714;null;0,001592857;0,002021429;0,002078571;0,001878571;0,002192857;0,00165;0,002241667;0,002291667;0,0023;0,002558333;0,002691667;0,00235;0,002683333;0,003066667;0,002941667;0,003142857
Київ;5053050;Фтористий водень;0,000744444;0,000566667;0,000544444;0,000661111;0,000777778;0,000711111;0,000711765;0,000678571;0,000614286;null;0,000728571;0,000964286;0,000714286;0,000628571;0,000878571;0,000728571;0,000757143;0,000678571;0,00075;0,0009;0,000742857;0,000614286;0,000742857;0,000771429;0,000728571;0,000742857
Київ;5053050;Хлористий водень;0,052295;0,04842;0,042985;0,04746;0,0473;0,05407;0,046865;0,04474;0,046885;null;0,053555;0,052135;0,048865;0,050045;0,05116;0,042055;0,038665;0,04659;0,04346;0,05932;0,048325;0,05732;0,047045;0,04428;0,052995;0,059015
