city;coordinateNumber;nameImpurity;1August;2August;3August;4August;5August;6August;7August;8August;9August;10August;11August;12August;13August;14August;15August;16August;17August;18August;19August;20August;21August;22August;23August;24August;25August;26August;27August;28August;29August;30August;31August
Київ;5053050;Завислі речовини;0,077607143;0,078642857;0,082107143;null;0,077214286;0,079714286;0,077392857;0,075714286;0,07725;0,07825;null;0,07625;0,075;0,074928571;0,07925;0,076857143;0,078785714;null;0,078615385;0,079555556;0,083703704;0,079535714;0,080321429;0,081964286;null;0,0841;0,078125;0,0803125;0,082666667;0,07425;0,079681818
Київ;5053050;Дiоксид сiрки;0,057383333;0,055580952;0,056045238;null;0,058438095;0,061602381;0,055909524;0,057759524;0,058164286;0,062859524;null;0,051609524;0,057983333;0,055269048;0,056911905;0,059038095;0,05327619;null;0,061846154;0,062723077;0,057512195;0,056269048;0,055290476;0,055488095;null;0,068154286;0,0600125;0,053367647;0,060834286;0,059769444;0,060578378
Київ;5053050;Сульфати;0,0185;0,0195;0,0135;null;0,02;0,0185;0,0165;0,0185;0,0185;0,016;null;0,015;0,0155;0,018;0,02;0,02;0,0205;null;0,016;0,0245;0,023;0,02;0,0195;0,016;null;0,017;0,027;null;0,019;0,014;0,018
Київ;5053050;Оксид вуглецю;0,786875;0,845625;0,82375;null;0,9775;1,398125;0,864375;1,19;1,346875;0,8784375;null;0,8778125;1,23875;1,2696875;1,131875;1,4271875;1,106875;null;1,666451613;1,325741935;1,54625;1,715;1,5734375;1,1896875;null;1,435333333;1,31;1,161333333;1,102666667;1,229666667;1,288666667
Київ;5053050;Дiоксид азоту;0,149938095;0,1349;0,131514286;null;0,148166667;0,135466667;0,146666667;0,143383333;0,140602381;0,142990476;null;0,163309524;0,149264286;0,139495238;0,146233333;0,153042857;0,168214286;null;0,171161538;0,175479487;0,167617073;0,171616667;0,15237619;0,173919048;null;0,164185294;0,169458065;0,174069697;0,17394;0,165225;0,166916216
Київ;5053050;Сiрководень;0,00235;0,002366667;0,001866667;null;0,0022;0,0022;0,001883333;0,002116667;0,001916667;0,001983333;null;0,001816667;0,001833333;0,001666667;0,001966667;0,001766667;0,00185;null;0,0023;0,002383333;0,0024;0,002066667;0,002466667;0,00215;null;0,002333333;0,0022;0,0025;0,002325;0,002325;0,002475
Київ;5053050;Фенол;0,005878571;0,005457143;0,005407143;null;0,005792857;0,00585;0,00585;0,005871429;0,005871429;0,0059;null;0,005792857;0,005492857;0,005521429;0,005692857;0,005707143;0,005407143;null;0,005815385;0,00605;0,006028571;0,005678571;0,005464286;0,005135714;null;0,005518182;0,005666667;0,005;0,005527273;0,005627273;0,005554545
Київ;5053050;Фтористий водень;0,000714286;0,0009;0,000771429;null;0,000857143;0,000914286;0,000985714;0,001071429;0,001028571;0,001057143;null;0,000885714;0,000814286;0,000857143;0,000942857;0,001071429;0,000771429;null;0,001021429;0,001107143;0,001121429;0,000985714;0,0011;0,000957143;null;0,001266667;0,001044444;0,001111111;0,001054545;0,00108;0,00082
Київ;5053050;Хлористий водень;0,07872;0,07966;0,07093;null;0,07813;0,074465;0,07734;0,07624;0,077535;0,06559;null;0,07866;0,08269;0,08147;0,08754;0,092665;0,07699;null;0,095565;0,08798;0,09168;0,08288;0,085005;0,06683;null;0,08030625;0,078407143;0,076906667;0,090847059;0,09474375;0,088941176
Київ;5053050;Амiак;0,008761111;0,008316667;0,006961111;null;0,007327778;0,008083333;0,00845;0,007916667;0,008372222;0,008011111;null;0,007483333;0,007772222;0,008283333;0,008544444;0,008166667;0,008855556;null;0,009244444;0,008927778;0,008938889;0,0084;0,008788889;0,009111111;null;0,009142857;0,008918182;0,007991667;0,0089875;0,008746667;0,0096
