city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;20December;21December;22December;23December;24December;25December;27December;28December;29December;30December;31December
Київ;5053050;Завислі речовини;0,071038462;0,072692308;0,070846154;0,070230769;;0,072083333;0,073416667;0,073458333;0,071192308;0,072692308;0,071807692;;0,069541667;0,0695;0,071833333;0,069875;0,070333333;0,070916667;0,071115385;0,069653846;0,069923077;0,070214286;0,070392857;0,070535714;0,071428571;0,073285714;0,072071429;0,071857143;0,073321429
Київ;5053050;Дiоксид сiрки;0,09635;0,098376316;0,090094737;0,089184211;;0,085883333;0,087027778;0,089719444;0,0810425;0,093205;0,0957575;;0,085557895;0,086542105;0,089465789;0,080744737;0,086626316;0,091315789;0,082595;0,0851675;0,0843225;0,084511905;0,085097619;0,08585;0,083011905;0,090309524;0,086614286;0,087945238;0,081583333
Київ;5053050;Сульфати;0,0155;0,017;0,0195;0,013;;0,017;0,018;0,017;0,0165;0,0185;0,0155;;0,0175;0,0175;0,0165;0,0165;0,018;0,0165;0,02;0,019;0,0175;0,018;0,0175;0,017;0,017;0,02;0,0185;0,018;0,018
Київ;5053050;Оксид вуглецю;0,669;0,715333333;0,734;0,621333333;;0,772142857;0,763571429;0,853214286;0,813666667;0,807;0,917666667;;0,857857143;0,675714286;0,676428571;0,675357143;0,705714286;0,676785714;0,690333333;0,768333333;0,708333333;0,79;0,939375;0,93;1,1340625;1,2590625;1,2078125;1,2946875;0,828125
Київ;5053050;Дiоксид азоту;0,087034211;0,086618421;0,082928947;0,079021053;;0,082980556;0,092819444;0,089697222;0,09377;0,0885525;0,0924275;;0,081355263;0,075076316;0,092660526;0,082255263;0,080476316;0,093497368;0,0870775;0,08568;0,08329;0,087928571;0,089254762;0,091954762;0,096897619;0,098611905;0,102430952;0,104228571;0,090014286
Київ;5053050;Сiрководень;0,0019;0,001966667;0,001716667;0,001666667;;0,001533333;0,001566667;0,001616667;0,001433333;0,0012;0,001316667;;0,00125;0,0016;0,0017;0,0019;0,001716667;0,001533333;0,0015;0,001433333;0,001266667;0,00145;0,00125;0,001516667;0,001516667;0,001416667;0,00155;0,00175;0,001433333
Київ;5053050;Фенол;0,002258333;0,002175;0,002266667;0,002116667;;0,00209;0,00222;0,00231;0,002166667;0,002225;0,002083333;;0,002041667;0,002041667;0,002141667;0,00205;0,001925;0,0021;0,001942857;0,002242857;0,002157143;0,002235714;0,002157143;0,002157143;0,00215;0,0021;0,002314286;0,002085714;0,002221429
Київ;5053050;Фтористий водень;0,000792857;0,000621429;0,000664286;0,000528571;;0,0009;0,00084;0,00077;0,00071;0,00087;0,0007;;0,000733333;0,000533333;0,000583333;0,000566667;0,000916667;0,0006;0,0007;0,00084;0,00061;0,000692857;0,000764286;0,000742857;0,000878571;0,000792857;0,000785714;0,000907143;0,000792857
Київ;5053050;Хлористий водень;0,065235;0,061055;0,06267;0,05771;;0,06035;0,06089;0,06069;0,05525;0,061475;0,0532;;0,054177778;0,057455556;0,056244444;0,057388889;0,05915;0,053727778;0,054311111;0,056105556;0,056727778;0,05784;0,05834;0,05614;0,065135;0,059135;0,060445;0,06267;0,063495
Київ;5053050;Амiак;0,00816875;0,00798125;0,00838125;0,00783125;;0,007585714;0,008635714;0,007921429;0,00791875;0,00783125;0,008025;;0,007528571;0,007478571;0,007528571;0,007564286;0,007757143;0,007428571;0,0077375;0,00779375;0,0076625;0,007405556;0,00765;0,007916667;0,007916667;0,008172222;0,008677778;0,008277778;0,007855556
Київ;5053050;Формальдегiд;0,003683333;0,003964286;0,003145238;0,002792857;;0,002736842;0,003242105;0,003010526;0,003002381;0,00325;0,002659524;;0,002786842;0,002868421;0,003255263;0,002786842;0,003152632;0,003052632;0,003059524;0,003266667;0,003030952;0,003028261;0,003384783;0,002915217;0,003543478;0,00375;0,003478261;0,003778261;0,003380435
Вінниця;4922860;Завислі речовини;;;;;;0,1;0,15;0,05;0;0;0,05;;0;0;0;0,025;0,2;0,075;0,15;0,05;0;0;0;0;0,05;0,05;0,075;0,025;0,15
Вінниця;4922860;Дiоксид сiрки;;;;;;0,0002625;0;0,0018125;0,0002625;0,0010375;0,000525;;0;0,00025;0,0005;0;0;0;0;0;0;0;0,00205;0,0005;0,0002625;0;0,0010375;0,0005125;0
Вінниця;4922860;Оксид вуглецю;;;;;;1,475;1,175;1,45;1,425;1,05;1,15;;1,15;1,075;1,175;1,075;0,95;0,975;1,7;1,05;1;1,275;1,325;1,175;1,175;1,075;1,225;1,775;1,275
Вінниця;4922860;Дiоксид азоту;;;;;;0,0506125;0,0508125;0,0524;0,0610875;0,0315;0,0536875;;0,0541;0,0541875;0,0673625;0,0489125;0,03925;0,045425;0,0738625;0,0354125;0,0384125;0,047125;0,0604125;0,0628125;0,0578375;0,0564875;0,05545;0,0428125;0,0356875
Вінниця;4922860;Фтористий водень;;;;;;0,002525;0,0025125;0,0108;0,001075;0,00435;0,0104125;;0,002825;0,0053125;0,0046;0,00245;0;0,0074375;0,0028625;0,0053375;0,0128125;0,0031875;0,004975;0,0169375;0,0064125;0,002525;0,0101;0,00875;0,007525
