city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Київ;5053050;Завислі речовини;0,076807692;0,078038462;0,081423077;0,074961538;0,080653846;0,081285714;0,07775;0,077285714;0,078464286;0,0765;0,074357143;0,072892857;0,072071429;0,076636364;0,077173913;0,078464286;0,076555556;0,080615385;0,078307692;0,079458333;0,080407407;0,076785714;0,075545455;0,081607143;0,083285714;0,078192308;0,077807692
Київ;5053050;Дiоксид сiрки;0,072728947;0,073257895;0,071936842;0,06965;0,066278947;0,059730952;0,061545238;0,061452381;0,062178571;0,062002381;0,055595238;0,061133333;0,058378571;0,056202778;0,060466667;0,063092857;0,056297561;0,066557895;0,064397436;0,061692105;0,06241;0,059292857;0,061497222;0,06197619;0,059452381;0,051221053;0,060360526
Київ;5053050;Сульфати;0,0195;0,021;0,0215;0,0185;0,0175;0,0145;0,0155;0,0175;0,02;0,016;0,015;0,0165;0,0185;0,016;0,0205;0,0195;0,02;0,021;0,021;0,0155;0,015;0,0175;0,015;0,019;0,019;0,016;0,0185
Київ;5053050;Оксид вуглецю;1,6796875;1,7009375;1,6934375;1,3859375;1,273125;0,9940625;1,1759375;1,3575;1,44625;0,966875;1,239375;1,1415625;1,0609375;1,254375;1,26375;0,9015625;0,948125;0,864375;0,9696875;0,8534375;1,0878125;0,8728125;1,0196875;0,9171875;0,9425;0,839666667;0,977666667
Київ;5053050;Дiоксид азоту;0,157421053;0,153860526;0,157010526;0,143863158;0,152042105;0,123569048;0,11267381;0,124985714;0,118471429;0,113738095;0,113602381;0,118428571;0,125678571;0,138777778;0,1374;0,1386;0,147431707;0,159868421;0,1511;0,151455263;0,14989;0,145640476;0,155358333;0,1488;0,155192857;0,139702632;0,124955263
Київ;5053050;Сiрководень;0,002533333;0,002583333;0,002066667;0,002316667;0,00225;0,001466667;0,001816667;0,00135;0,002116667;0,0018;0,0019;0,0018;0,001733333;0,0021;0,002566667;0,0023;0,003;0,00275;0,002366667;0,001966667;0,00185;0,002533333;0,0029;0,002316667;0,0024;0,00175;0,001933333
Київ;5053050;Фенол;0,0027;0,002607143;0,002864286;0,002828571;0,002671429;0,002857143;0,002771429;0,002714286;0,002864286;0,003;0,002564286;0,002735714;0,002564286;0,002891667;0,00285;0,002864286;0,002938462;0,002991667;0,003345455;0,002991667;0,003176923;0,003321429;0,003091667;0,003121429;0,003228571;0,003214286;0,003392857
Київ;5053050;Фтористий водень;0,00085;0,000857143;0,000842857;0,000614286;0,0008;0,000714286;0,000721429;0,000614286;0,000614286;0,000485714;0,000514286;0,000557143;0,000542857;0,000642857;0,000707692;0,000742857;0,000742857;0,0008;0,000828571;0,000769231;0,000771429;0,000685714;0,000953846;0,001028571;0,0009;0,000957143;0,000971429
Київ;5053050;Хлористий водень;0,08581;0,08683;0,086775;0,07152;0,078145;0,070795;0,069465;0,068215;0,079195;0,069315;0,073285;0,081015;0,08394;0,090647368;0,0913;0,076305;0,085385;0,084255;0,081275;0,078978947;0,080915;0,0805;0,086277778;0,086815;0,09094;0,08385;0,08248125
Київ;5053050;Амiак;0,007905556;0,007477778;0,007655556;0,007305556;0,00735;0,007016667;0,007172222;0,007616667;0,007455556;0,007783333;0,007077778;0,007288889;0,007133333;0,007811765;0,0077875;0,007761111;0,007755556;0,007588235;0,007817647;0,011013333;0,00805;0,007638889;0,00821875;0,007794444;0,008094444;0,0071125;0,00699375
