city;coordinateNumber;nameImpurity;1September;2September;3September;4September;5September;6September;7September;8September;9September;10September;11September;12September;13September;14September;15September;16September;17September;18September;19September;20September;21September;22September;23September;24September;25September;26September;27September;28September;29September;30September;;;;;;;;;;;;
Київ;5053050;Завислі речовини;null;0,0794;0,0768;0,080047619;0,084318182;0,079380952;0,082923077;null;0,077923077;0,079730769;0,082541667;0,079038462;0,074964;0,083115385;null;0,077076923;0,077115385;0,076730769;0,076296296;0,081642857;0,079214286;null;0,082142857;0,081035714;0,081178571;0,076321429;0,081214286;0,081178571;null;0,077285714;;;;;;;;;;;;
Київ;5053050;Дiоксид сiрки;null;0,06899697;0,063327778;0,057711429;0,060852778;0,061965714;0,056442105;null;0,060202632;0,058692105;0,056097368;0,056414286;0,057085366;0,058443902;null;0,061756098;0,056952381;0,054419048;0,057538095;0,063080952;0,057483333;null;0,056633333;0,05772381;0,056495238;0,055354762;0,056730952;0,0589;null;0,058519048;;;;;;;;;;;;
Київ;5053050;Сульфати;null;0,014;0,017;0,023;0,013;0,016;0,0175;null;0,02;0,0175;0,016;0,0175;0,02;0,017;null;0,021;0,016;0,014;0,014;0,025;0,0205;null;0,017;0,016;0,018;0,0155;0,0145;0,012;null;0,012;;;;;;;;;;;;
Київ;5053050;Оксид вуглецю;null;1,45;1,361333333;1,182333333;1,068333333;0,879666667;1,067666667;null;1,202333333;1,014;0,898666667;0,8828125;1,1071875;1,115;null;0,7625;0,9181875;1,0771875;0,93;1,7065625;1,1678125;null;1,1453125;1,4753125;0,8203125;0,7990625;0,6521875;0,7828125;null;0,7546875;;;;;;;;;;;;
Київ;5053050;Дiоксид азоту;null;0,162127273;0,178255556;0,199194286;0,153266667;0,151545714;0,146023684;null;0,144255263;0,144981579;0,137865789;0,149164286;0,134770732;0,145604878;null;0,144839024;0,142333333;0,132088095;0,12665;0,121992857;0,137164286;null;0,125530952;0,145321429;0,141930952;0,142652381;0,134461905;0,142771429;null;0,115066667;;;;;;;;;;;;
Київ;5053050;Сiрководень;null;0,00254;0,002733333;0,0025;0,002466667;0,00235;0,002416667;null;0,001716667;0,001833333;0,001833333;0,00195;0,001883333;0,002266667;null;0,002633333;0,002466667;0,00245;0,00285;0,00275;0,003933333;null;0,0035;0,003533333;0,003166667;0,002933333;0,00265;0,002666667;null;0,001933333;;;;;;;;;;;;
Київ;5053050;Фенол;null;0,0063;0,005922222;0,0059875;0,005888889;0,005744444;0,00503;null;0,00496;0,0052;0,00541;0,004792857;0,004823077;0,005015385;null;0,004676923;0,004885714;0,004814286;0,004557143;0,004757143;0,004135714;null;0,004078571;0,004235714;0,004292857;0,003985714;0,004178571;0,004171429;null;0,003985714;;;;;;;;;;;;
Київ;5053050;Фтористий водень;null;0,001181818;0,00112;0,001066667;0,001233333;0,0012;0,000885714;null;0,001042857;0,001;0,001157143;0,001171429;0,001169231;0,001142857;null;0,001114286;0,001014286;0,000914286;0,000971429;0,001185714;0,001057143;null;0,000985714;0,001028571;0,001057143;0,001042857;0,000957143;0,000828571;null;0,000842857;;;;;;;;;;;;
Київ;5053050;Хлористий водень;null;0,098583333;0,0866;0,088610526;0,099577778;0,091294444;0,07413;null;0,078795;0,076255;0,07449;0,076125;0,072705263;0,066515;null;0,06915;0,068285;0,06854;0,06858;0,08294;0,077935;null;0,079985;0,08227;0,075305;0,066975;0,08265;0,06823;null;0,07505;;;;;;;;;;;;
Київ;5053050;Амiак;null;0,009878571;0,008914286;0,008993333;0,009633333;0,009207143;0,0089625;null;0,00841875;0,00828125;0,00803125;0,008466667;0,008572222;0,008911111;null;0,009311111;0,008588889;0,007938889;0,008705556;0,012672222;0,011972222;null;0,011072222;0,00895;0,008866667;0,008305556;0,0088;0,009894444;null;0,0087;;;;;;;;;;;;
