city;coordinateNumber;nameImpurity;1October;2October;3October;4October;5October;6October;7October;8October;9October;10October;11October;12October;13October;14October;15October;16October;17October;18October;19October;20October;21October;22October;23October;24October;25October;26October;27October;28October;29October;30October;31October;;;;;;;;;;;;
Київ;5053050;Завислі речовини;0,080071429;0,080071429;0,082821429;0,081035714;0,074321429;null;0,075785714;0,076142857;0,078964286;0,078464286;0,080928571;0,078821429;null;0,075384615;0,074076923;0,073384615;0,071115385;0,070923077;0,071;null;0,070807692;0,071846154;0,072153846;0,071538462;0,073153846;0,074384615;null;0,077333333;0,073583333;0,072791667;0,072791667;;;;;;;;;;;;
Київ;5053050;Дiоксид сiрки;0,054854762;0,055380952;0,055945238;0,057585714;0,059811905;null;0,059402381;0,056821429;0,06035;0,05812381;0,063254762;0,061669048;null;0,065175;0,061705;0,06334;0,0621675;0,060115;0,065085;null;0,065825;0,070055;0,070025;0,07327;0,072885;0,07477;null;0,072930556;0,073586111;0,075925;0,078372222;;;;;;;;;;;;
Київ;5053050;Сульфати;0,013;0,016;0,0175;0,017;0,012;null;0,0105;0,0135;0,017;0,018;0,0185;0,014;null;0,015;0,011;0,015;0,012;0,015;0,0165;null;0,016;0,0155;0,0155;0,017;0,0175;0,0165;null;0,0145;0,018;0,018;0,0165;;;;;;;;;;;;
Київ;5053050;Оксид вуглецю;0,969375;0,7109375;0,8809375;0,8146875;1,048125;null;1,375;1,1446875;1,1175;0,8325;0,819375;0,7459375;null;0,797;0,834;0,735;0,726333333;0,781666667;0,765;null;1,776;1,280666667;0,932666667;0,868666667;0,792666667;0,809333333;null;1,025714286;1,710357143;1,518571429;1,081071429;;;;;;;;;;;;
Київ;5053050;Дiоксид азоту;0,113190476;0,121445238;0,12252619;0,114219048;0,09735;null;0,084071429;0,089966667;0,107869048;0,113004762;0,11102619;0,109952381;null;0,094095;0,08011;0,0834425;0,07504;0,070775;0,0634425;null;0,07198;0,07615;0,0747225;0,0751925;0,072;0,0747;null;0,078725;0,077463889;0,0739;0,077841667;;;;;;;;;;;;
Київ;5053050;Сiрководень;0,002066667;0,002033333;0,00205;0,00205;0,001916667;null;0,001883333;0,002;0,002;0,002;0,002;0,001766667;null;0,001775;0,002;0,001675;0,001875;0,002275;0,002075;null;0,002025;0,001875;0,002075;0,001925;0,001725;0,002;null;0,002;0,00255;0,002325;0,0021;;;;;;;;;;;;
Київ;5053050;Фенол;0,004114286;0,004078571;0,00395;0,00415;0,003814286;null;0,00385;0,003828571;0,003778571;0,003828571;0,003835714;0,003785714;null;0,003833333;0,003641667;0,003475;0,003583333;0,0036;0,003566667;null;0,003533333;0,003683333;0,0036;0,003616667;0,003641667;0,003883333;null;0,003741667;0,003741667;0,003758333;0,003783333;;;;;;;;;;;;
Київ;5053050;Фтористий водень;0,000828571;0,0008;0,000942857;0,000942857;0,000785714;null;0,000942857;0,001042857;0,0009;0,000985714;0,000928571;0,001035714;null;0,001483333;0,0009;0,000866667;0,00075;0,000783333;0,00085;null;0,000708333;0,000966667;0,000908333;0,000825;0,001075;0,000916667;null;0,000933333;0,001108333;0,000975;0,0009;;;;;;;;;;;;
Київ;5053050;Хлористий водень;0,073585;0,071845;0,074355;0,06458;0,06463;null;0,06441;0,072245;0,06917;0,072815;0,07028;0,05998;null;0,062922222;0,067416667;0,067827778;0,071911111;0,077516667;0,072872222;null;0,078288889;0,076527778;0,074238889;0,080455556;0,076494444;0,074438889;null;0,083142857;0,076328571;0,065228571;0,073685714;;;;;;;;;;;;
Київ;5053050;Амiак;0,008666667;0,008872222;0,008394444;0,008111111;0,0079;null;0,008016667;0,008344444;0,008577778;0,008383333;0,008461111;0,007594444;null;0,0078;0,00789375;0,00771875;0,00758125;0,00820625;0,00830625;null;0,0085875;0,00884375;0,00878125;0,0087;0,00758125;0,0082625;null;0,008335714;0,008585714;0,008964286;0,008414286;;;;;;;;;;;;
Київ;5053050;Формальдегiд;0,004086957;0,00373913;0,003595652;0,004293478;0,004091304;null;0,003547826;0,003965217;0,0047;0,003945652;0,003313043;0,003541304;null;0,003786364;0,00395;0,003686364;0,003261364;0,003220455;0,002954545;null;0,003672727;0,004045455;0,004390909;0,004777273;0,004463636;0,003629545;null;0,0042425;0,0039925;0,0036425;0,003335;;;;;;;;;;;;
Вінниця;4922860;Завислі речовини;0,2;0,125;0,2;0,2;0,05;null;0,225;0,35;0,075;0,425;0,2;0,075;null;0,05;0;0;0;0,025;0,025;null;0,025;0,025;0;0;0,05;0,125;null;0;0;0;0;;;;;;;;;;;;
